year,host,winner,runner_up,third_place,fourth_place,total_goals,total_matches,attendance
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,18,590549
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,17,363000
1938,France,Italy,Hungary,Brazil,Sweden,84,18,375700
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,22,1045246
1954,Switzerland,West Germany,Hungary,Austria,Uruguay,140,26,768607
1958,Sweden,Brazil,Sweden,France,West Germany,126,35,819810
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,32,893172
1966,England,England,West Germany,Portugal,Soviet Union,89,32,1563135
1970,Mexico,Brazil,Italy,West Germany,Uruguay,95,32,1603975
1974,West Germany,West Germany,Netherlands,Poland,Brazil,97,38,1865753
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,38,1545791
1982,Spain,Italy,West Germany,Poland,France,146,52,2109723
1986,Mexico,Argentina,West Germany,France,Belgium,132,52,2394031
1990,Italy,West Germany,Argentina,Italy,England,115,52,2516354
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,52,3587538
1998,France,France,Brazil,Croatia,Netherlands,171,64,2785100
2002,South Korea/Japan,Brazil,Germany,Turkey,South Korea,161,64,2705197
2006,Germany,Italy,France,Germany,Portugal,147,64,3359439
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,64,3178856
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,64,3386810
2018,Russia,France,Croatia,Belgium,England,169,64,3031768
2022,Qatar,Argentina,France,Croatia,Morocco,172,64,3404252
